variable,spearman_naive,partial_spearman_controls,n_hex_present,total_incidents_or_features,delta
weapons_violation,0.889446134817681,0.8208556989428881,1471,125962.0,-0.06859043587479285
narcotics,0.8565124879244224,0.7896365930284857,1499,752758.0,-0.0668758948959367
battery,0.8561446671861129,0.8140762255255485,1510,1541143.0,-0.04206844166056445
assault,0.8542641892054051,0.8123272623705972,1505,568312.0,-0.041936926834807986
offense_involving_children,0.8166929303543294,0.7516178124960269,1438,56357.0,-0.06507511785830256
robbery,0.814336800948533,0.7741099689794254,1475,314441.0,-0.04022683196910759
interference_with_public_officer,0.8134693519628959,0.7334247216338059,1315,20514.0,-0.08004463032909004
other_offense,0.8004158641691118,0.7708567232837363,1502,524411.0,-0.02955914088537548
criminal_sexual_assault,0.792301912771046,0.754291000964105,1436,36630.0,-0.03801091180694105
criminal_damage,0.7912396271020568,0.7725147309980768,1507,958539.0,-0.018724896103979982
arson,0.7831290532914867,0.7115344289370327,1344,14415.0,-0.07159462435445407
motor_vehicle_theft,0.779749775395232,0.7401148770965639,1500,432489.0,-0.039634898298668175
public_peace_violation,0.7432649576828063,0.6966756699755143,1459,54703.0,-0.04658928770729198
gambling,0.7310393274720576,0.6356750821341451,897,14554.0,-0.09536424533791243
burglary,0.7135511794437511,0.7059389257194927,1483,445911.0,-0.007612253724258444
criminal_trespass,0.7012452676027928,0.7034222792032835,1490,227067.0,0.0021770116004906637
sex_offense,0.6788855330821627,0.6716823037454924,1449,32428.0,-0.00720322933667028
kidnapping,0.642351685556213,0.5994720960446805,1284,7421.0,-0.04287958951153248
intimidation,0.6120293878051251,0.5899704207006933,1164,5123.0,-0.02205896710443178
stalking,0.5915992700906633,0.5772106280902958,1252,6237.0,-0.01438864200036749
prostitution,0.5907546004814789,0.5325036860489772,1022,69701.0,-0.05825091443250163
theft,0.5809925334159721,0.6272728758733159,1507,1778330.0,0.046280342457343804
deceptive_practice,0.532785257836383,0.6250693685387846,1496,368797.0,0.09228411070240161
liquor_law_violation,0.4760242555930979,0.5237175640560114,1257,15262.0,0.04769330846291353
concealed_carry_license_violation,0.45131037731107104,0.34805444138117647,576,1716.0,-0.10325593592989457
obscenity,0.28637531336304506,0.3191840505318037,624,911.0,0.03280873716875865
human_trafficking,0.2047079059928866,0.1310220602056722,115,126.0,-0.0736858457872144
public_indecency,0.1505401228799821,0.16957027700195043,170,226.0,0.019030154121968318
