variable,spearman_naive,partial_spearman_controls,delta,n_hex_present,total_incidents_or_features
infra_place_of_worship,0.44894619571254346,0.40766923158087587,-0.04127696413166759,826,1846.0
infra_protective,0.4251283513599786,0.4244911148360799,-0.0006372365238987432,1296,5819.0
infra_total,0.38825271693934293,0.4450667192034221,0.05681400226407918,1374,8034.0
infra_school,0.27264588982805193,0.27721286535978795,0.004566975531736017,707,1054.0
infra_fuel,0.23016112298552055,0.21459956416116313,-0.015561558824357419,353,431.0
infra_playground,0.1722148512947636,0.16478403470436878,-0.007430816590394823,698,1115.0
infra_social_facility,0.15156076767801568,0.13360059558631945,-0.01796017209169623,220,273.0
infra_community_centre,0.13033469295117855,0.11647531222654177,-0.013859380724636786,79,87.0
infra_risk,0.10751049538741038,0.2549141982818665,0.14740370289445615,634,1562.0
infra_supermarket,0.07824645240583813,0.12439461780268814,0.04614816539685,225,272.0
infra_laundry,0.07355615883331507,0.1293927491442228,0.055836590310907736,78,85.0
infra_clinic,0.05519443457727853,0.07028770564264238,0.015093271065363845,168,217.0
infra_fire_station,0.053843095490530866,0.07562245607495671,0.021779360584425846,103,104.0
infra_library,0.05222799583255737,0.06728296388873307,0.015054968056175705,98,106.0
infra_alcohol,0.047766928909948186,0.11996546622064316,0.07219853731069498,108,123.0
infra_park,0.0424227406690768,0.081516525474311,0.0390937848052342,597,890.0
infra_arts_centre,0.04087643100065667,0.06229840383469216,0.02142197283403549,37,43.0
infra_casino,0.022480756722808026,0.05141634124415171,0.028935584521343684,1,1.0
infra_restaurant,0.022480756722808026,0.05141634124415171,0.028935584521343684,1,1.0
infra_police,0.01701331750415431,0.008316287557332325,-0.008697029946821984,42,43.0
infra_nursing_home,0.01580772283409457,-0.018347229676100276,-0.03415495251019485,4,4.0
infra_e-cigarette,0.012022861957916336,0.059272279545538514,0.047249417587622175,7,8.0
infra_tobacco,0.011283529997884434,0.07310281976369863,0.061819289765814196,30,33.0
infra_nightclub,0.004742919762536873,0.0467851978618858,0.04204227809934893,18,23.0
infra_courthouse,0.001760832086104195,-0.004615265715782451,-0.006376097801886646,9,11.0
infra_research_institute,-0.00091102440233193,-0.017218775473397598,-0.016307751071065666,2,2.0
infra_prison,-0.003735838111857383,-0.023455602448871574,-0.01971976433701419,4,4.0
infra_hospital,-0.004127746243007234,0.0014310004220674886,0.0055587466650747226,38,41.0
infra_pharmacy,-0.00538232261426099,0.07940734087705277,0.08478966349131375,131,143.0
infra_monastery,-0.013209853833812985,-0.012157042596048872,0.001052811237764113,2,2.0
infra_payment_terminal,-0.026140119178683214,0.013699830106279719,0.039839949284962935,5,9.0
infra_stripclub,-0.03375439611654671,-0.015223687822816145,0.018530708293730564,4,4.0
infra_atm,-0.03767536250309755,0.035533104484672846,0.0732084669877704,79,120.0
infra_bar,-0.0793327796155626,0.10822945096104791,0.18756223057661053,330,837.0
infra_pub,-0.08249015103254068,0.03948716603922778,0.12197731707176845,77,102.0
